,stratified,natural
documents,19979.0,20000.0
docs_with_redaction_pct,81.2,67.5
redaction_runs_per_doc_median,6.0,4.0
redaction_share_of_chars_pct,4.25,6.38
chars_median,799.0,644.0
words_median,143.0,110.0
words_p05,24.0,20.0
words_p95,601.0,521.0
docs_under_20_words_pct,3.4,4.9
docs_with_non_ascii_pct,0.0,0.0
exact_duplicates,1085.0,7513.0
exact_duplicates_pct,5.4,37.6
near_duplicate_groups,717.0,2354.0
near_duplicate_surplus,1968.0,11044.0
near_duplicate_surplus_pct,9.9,55.2
largest_template_group,171.0,1195.0
vocabulary_raw,24218.0,16640.0
hapax_pct,37.5,31.0
