representation,k,cluster,documents,share_pct,top_terms,distinctive_terms
count_unigram,11,0,3,0.0,"case, debt, arbitration, repossession, consumer, notice, damage, court, dispute, state, filing, law","case, debt, arbitration, repossession, notice, consumer, court, damage, state, filing, dispute, law"
count_unigram,11,1,595,4.2,"credit, debt, account, consumer, information, report, reporting, right, act, payment, request, collection","credit, reporting, usc, inc, score, management, experian, consent, llc, removed, national, adverse"
count_unigram,11,2,775,5.4,"card, credit, gift, account, would, use, called, told, charge, time, received, back","card, gift, purchase, use, express, american, tried, declined, amex, store, called, vanilla"
count_unigram,11,3,45,0.3,"credit, account, consumer, information, report, reporting, debt, card, violation, act, law, right","credit, consumer, report, reporting, information, account, usc, card, balance, act, agency, section"
count_unigram,11,4,936,6.5,"loan, payment, would, time, told, interest, year, received, company, mortgage, credit, amount","loan, mohela, mortgage, forbearance, navient, modification, school, home, foreclosure, pslf, application, rate"
count_unigram,11,5,130,0.9,"account, bank, would, call, time, money, payment, told, day, back, email, received","bank, call, would, money, told, time, back, transaction, email, day, get, check"
count_unigram,11,6,1580,11.0,"account, bank, money, fund, would, told, day, time, check, back, email, received","bank, money, fund, check, deposit, paypal, checking, app, america, venmo, wire, fargo"
count_unigram,11,7,1,0.0,"account, information, number, name, consumer, inaccurate, dispute, disputed, investigation, explanation, report, creditor","account, information, number, name, inaccurate, disputed, dispute, investigation, consumer, explanation, held, original"
count_unigram,11,8,9397,65.6,"account, credit, payment, loan, company, time, year, bank, card, information, money, would","lexington, pmi, cashapp, crypto, dmv, appraisal, oil, carvana, jefferson, theyre, appraiser, battery"
count_unigram,11,9,834,5.8,"payment, account, would, loan, due, month, made, time, told, amount, credit, call","payment, mortgage, late, made, month, monthly, told, called, escrow, make, due, past"
count_unigram,11,10,36,0.3,"loan, payment, interest, account, would, student, credit, time, plan, amount, year, due","loan, payment, interest, student, would, plan, time, amount, repayment, rate, status, year"
tfidf_unigram,11,0,729,5.1,"car, vehicle, payment, loan, dealership, company, pay, get, repossessed, paid, credit, title","car, vehicle, dealership, repossessed, title, finance, insurance, repossession, sold, pay, contract, get"
tfidf_unigram,11,1,925,6.5,"mohela, loan, student, forbearance, payment, plan, application, repayment, school, save, navient, time","mohela, loan, student, forbearance, plan, application, repayment, school, save, navient, forgiveness, nelnet"
tfidf_unigram,11,2,621,4.3,"matter, financial, attention, issue, request, despite, writing, regarding, resolution, action, account, consumer","matter, financial, attention, despite, writing, resolution, regarding, issue, action, request, significant, prompt"
tfidf_unigram,11,3,939,6.6,"report, credit, account, inquiry, remove, information, reporting, removed, identity, please, fraudulent, inaccurate","report, credit, inquiry, remove, removed, account, identity, theft, inaccurate, fraudulent, reporting, please"
tfidf_unigram,11,4,3056,21.3,"account, bank, money, card, fund, told, back, transaction, day, called, said, check","bank, money, account, fund, transaction, transfer, back, told, check, chase, app, checking"
tfidf_unigram,11,5,842,5.9,"debt, collection, credit, company, collect, collector, report, validation, account, letter, creditor, information","debt, collection, collect, collector, validation, company, creditor, owe, original, letter, agency, alleged"
tfidf_unigram,11,6,1064,7.4,"mortgage, payment, escrow, loan, insurance, home, company, property, tax, month, would, year","mortgage, escrow, insurance, home, property, tax, foreclosure, modification, payment, loan, house, cooper"
tfidf_unigram,11,7,613,4.3,"reporting, consumer, report, credit, information, act, fcra, fair, agency, violation, usc, account","reporting, consumer, act, report, fcra, fair, usc, agency, violation, section, information, credit"
tfidf_unigram,11,8,2937,20.5,"account, credit, company, card, loan, year, service, information, never, time, received, charge","charged, lexington, paypal, charge, coinbase, cancel, product, refund, affirm, service, membership, scam"
tfidf_unigram,11,9,729,5.1,"card, gift, use, amex, declined, american, express, tried, online, purchase, balance, store","card, gift, use, amex, declined, american, express, tried, online, purchase, store, vanilla"
tfidf_unigram,11,10,1877,13.1,"payment, loan, interest, pay, paid, month, late, account, fee, made, balance, amount","payment, interest, loan, late, pay, paid, fee, month, made, balance, due, amount"
tfidf_bigram,11,0,628,4.4,"matter, financial, attention, issue, request, regarding, despite, writing, action, consumer, resolution, account","matter, financial, attention, despite, writing, regarding, resolution, issue, action, request, attention matter, significant"
tfidf_bigram,11,1,2387,16.7,"payment, loan, car, interest, pay, paid, month, vehicle, company, would, amount, told","loan, payment, car, interest, pay, vehicle, paid, rate, month, fee, interest rate, paying"
tfidf_bigram,11,2,893,6.2,"debt, collection, credit, company, collector, collect, debt collector, account, creditor, debt collection, validation, letter","debt, collection, collector, collect, debt collector, debt collection, validation, creditor, collect debt, collection agency, company, agency"
tfidf_bigram,11,3,2566,17.9,"account, bank, money, company, credit, information, payment, never, year, time, sent, fund","account, paypal, closed, lexington, bank, lexington law, venmo, money, coinbase, charged, closed account, fund"
tfidf_bigram,11,4,1121,7.8,"mortgage, payment, loan, escrow, home, insurance, company, property, mortgage company, tax, modification, month","mortgage, escrow, home, insurance, property, mortgage company, modification, payment, foreclosure, mortgage payment, tax, loan"
tfidf_bigram,11,5,655,4.6,"card, gift, gift card, use, amex, american express, declined, american, express, tried, online, purchase","gift, gift card, card, use, amex, american express, declined, american, express, tried, online, use card"
tfidf_bigram,11,6,537,3.7,"reporting, consumer, report, credit, act, credit reporting, information, fair, fair credit, agency, fcra, reporting act","reporting, consumer, act, credit reporting, fair credit, fair, reporting act, fcra, reporting agency, report, agency, usc"
tfidf_bigram,11,7,2278,15.9,"money, account, bank, back, told, fund, day, called, transfer, said, check, would","money, bank, transfer, fund, account, back, check, told, day, said, deposit, called"
tfidf_bigram,11,8,974,6.8,"loan, mohela, student, student loan, payment, forbearance, plan, application, repayment, school, save, navient","mohela, loan, student, student loan, forbearance, plan, repayment, application, school, save, navient, payment"
tfidf_bigram,11,9,933,6.5,"report, credit report, credit, account, inquiry, remove, reporting, information, removed, please, inaccurate, credit bureau","credit report, report, credit, inquiry, remove, removed, inaccurate, reporting, credit bureau, please remove, identity, identity theft"
tfidf_bigram,11,10,1360,9.5,"card, credit card, credit, charge, account, bank, debit, debit card, transaction, received, dispute, purchase","card, credit card, charge, debit card, debit, credit, bank, purchase, used, transaction, fraud, chase"
tfidf_unigram_svd100,11,0,765,5.3,"matter, financial, request, consumer, action, issue, regarding, account, attention, writing, credit, despite","matter, financial, request, action, consumer, attention, writing, regarding, despite, issue, resolution, protection"
tfidf_unigram_svd100,11,1,622,4.3,"card, gift, use, amex, declined, american, express, tried, online, purchase, store, balance","card, gift, use, amex, declined, american, express, tried, online, store, purchase, balance"
tfidf_unigram_svd100,11,2,1577,11.0,"card, charge, transaction, credit, dispute, account, bank, claim, called, debit, received, back","card, charge, transaction, dispute, debit, claim, fraud, denied, bank, used, called, fraudulent"
tfidf_unigram_svd100,11,3,1110,7.7,"report, credit, reporting, account, information, inquiry, inaccurate, remove, consumer, please, removed, reported","report, credit, reporting, inquiry, inaccurate, remove, information, account, removed, consumer, fcra, item"
tfidf_unigram_svd100,11,4,1919,13.4,"payment, loan, interest, pay, paid, month, late, account, fee, made, amount, balance","payment, interest, loan, late, pay, paid, month, fee, made, due, amount, balance"
tfidf_unigram_svd100,11,5,1042,7.3,"mortgage, payment, insurance, escrow, home, loan, company, tax, property, month, pay, year","mortgage, escrow, insurance, home, property, tax, foreclosure, modification, payment, loan, house, servicing"
tfidf_unigram_svd100,11,6,731,5.1,"car, vehicle, payment, loan, pay, company, paid, repossessed, get, credit, finance, title","car, vehicle, repossessed, dealership, title, finance, sold, insurance, repossession, auto, pay, contract"
tfidf_unigram_svd100,11,7,902,6.3,"debt, collection, credit, company, report, validation, collector, collect, creditor, account, letter, information","debt, collection, validation, collector, collect, creditor, agency, original, owe, company, alleged, fdcpa"
tfidf_unigram_svd100,11,8,2629,18.3,"account, credit, company, loan, year, information, service, time, never, bank, received, email","lexington, law, repair, charged, paypal, company, score, firm, affirm, open, personal, approved"
tfidf_unigram_svd100,11,9,2132,14.9,"account, money, bank, fund, transfer, check, day, told, back, sent, said, called","money, bank, account, fund, transfer, check, deposit, checking, chase, wire, app, deposited"
tfidf_unigram_svd100,11,10,903,6.3,"loan, mohela, student, forbearance, payment, application, plan, repayment, school, save, due, time","mohela, loan, student, forbearance, plan, application, repayment, school, save, navient, payment, pslf"
