representation,k,split,label_scheme,purity,purity_permuted,purity_majority,beats_majority,ari,nmi,homogeneity,completeness,purity_lift_over_permuted,ari_permuted,nmi_permuted,clusters,classes
count_unigram,2,train,product,0.1115,0.1029,0.1015,True,-0.0001,0.0045,0.0026,0.0179,0.0086,0.0,0.0002,2,11
count_unigram,2,train,issue,0.0763,0.0763,0.0763,False,-0.0008,0.0061,0.0033,0.0374,0.0,-0.0,0.0015,2,86
count_unigram,2,test,product,0.1144,0.1051,0.1016,True,0.0002,0.0067,0.0038,0.0262,0.0093,0.0001,0.001,2,11
count_unigram,2,test,issue,0.0731,0.0734,0.0731,False,-0.0009,0.0092,0.005,0.0559,-0.0002,-0.0001,0.0053,2,81
count_unigram,8,train,product,0.1887,0.1068,0.1015,True,0.0149,0.1229,0.0885,0.2012,0.082,0.0001,0.0015,8,11
count_unigram,8,train,issue,0.1248,0.0768,0.0763,True,0.0041,0.0983,0.0626,0.2288,0.048,-0.0001,0.0069,8,86
count_unigram,8,test,product,0.1884,0.1124,0.1016,True,0.0143,0.1228,0.0884,0.2015,0.076,0.0003,0.005,7,11
count_unigram,8,test,issue,0.1217,0.0751,0.0731,True,0.0033,0.1038,0.066,0.2426,0.0466,-0.0001,0.0226,7,81
count_unigram,11,train,product,0.204,0.1077,0.1015,True,0.0155,0.1408,0.1069,0.2066,0.0963,0.0,0.0018,11,11
count_unigram,11,train,issue,0.1285,0.0771,0.0763,True,0.0035,0.1156,0.0764,0.2375,0.0515,-0.0001,0.009,11,86
count_unigram,11,test,product,0.1982,0.1142,0.1016,True,0.0141,0.1406,0.1062,0.2078,0.084,0.0003,0.0065,9,11
count_unigram,11,test,issue,0.1253,0.0756,0.0731,True,0.003,0.1252,0.0824,0.26,0.0497,-0.0002,0.0284,9,81
tfidf_unigram,2,train,product,0.1501,0.1034,0.1015,True,0.0361,0.1112,0.0675,0.315,0.0467,0.0,0.0002,2,11
tfidf_unigram,2,train,issue,0.105,0.0763,0.0763,True,0.0168,0.0904,0.0512,0.3843,0.0287,-0.0001,0.0014,2,86
tfidf_unigram,2,test,product,0.1529,0.1069,0.1016,True,0.0389,0.1194,0.0728,0.3325,0.046,-0.0001,0.0011,2,11
tfidf_unigram,2,test,issue,0.1035,0.0733,0.0731,True,0.0168,0.0994,0.0564,0.4157,0.0303,0.0,0.0058,2,81
tfidf_unigram,8,train,product,0.3761,0.1092,0.1015,True,0.1906,0.3347,0.3004,0.3778,0.2669,-0.0,0.0011,8,11
tfidf_unigram,8,train,issue,0.2402,0.0768,0.0763,True,0.0997,0.2762,0.2064,0.4176,0.1634,0.0001,0.0075,8,86
tfidf_unigram,8,test,product,0.3843,0.1187,0.1016,True,0.1948,0.3373,0.3035,0.3795,0.2656,-0.0001,0.0044,8,11
tfidf_unigram,8,test,issue,0.2428,0.0756,0.0731,True,0.1002,0.2904,0.2173,0.4379,0.1672,-0.0,0.0274,8,81
tfidf_unigram,11,train,product,0.4477,0.1107,0.1015,True,0.2253,0.3803,0.3666,0.3951,0.3369,-0.0,0.0015,11,11
tfidf_unigram,11,train,issue,0.2612,0.0768,0.0763,True,0.1232,0.3182,0.2509,0.435,0.1844,-0.0,0.0099,11,86
tfidf_unigram,11,test,product,0.4669,0.1229,0.1016,True,0.2334,0.3861,0.3731,0.4001,0.344,0.0,0.006,11,11
tfidf_unigram,11,test,issue,0.2665,0.0773,0.0731,True,0.1249,0.338,0.2668,0.4612,0.1893,0.0001,0.0361,11,81
tfidf_bigram,2,train,product,0.1476,0.1035,0.1015,True,0.0332,0.1072,0.0645,0.316,0.0441,0.0,0.0002,2,11
tfidf_bigram,2,train,issue,0.1036,0.0763,0.0763,True,0.0148,0.0853,0.0481,0.3789,0.0273,-0.0,0.0014,2,86
tfidf_bigram,2,test,product,0.1488,0.1067,0.1016,True,0.0348,0.1133,0.0683,0.3313,0.0421,-0.0,0.0011,2,11
tfidf_bigram,2,test,issue,0.1033,0.0733,0.0731,True,0.0145,0.094,0.053,0.4142,0.0299,0.0001,0.0057,2,81
tfidf_bigram,8,train,product,0.3582,0.1089,0.1015,True,0.1933,0.3385,0.2993,0.3896,0.2493,-0.0,0.0011,8,11
tfidf_bigram,8,train,issue,0.2305,0.0766,0.0763,True,0.0896,0.2845,0.2102,0.4402,0.1538,-0.0,0.0074,8,86
tfidf_bigram,8,test,product,0.3595,0.118,0.1016,True,0.1928,0.3422,0.3029,0.3931,0.2415,-0.0001,0.0043,8,11
tfidf_bigram,8,test,issue,0.2258,0.0753,0.0731,True,0.0883,0.2943,0.2175,0.4549,0.1504,0.0,0.027,8,81
tfidf_bigram,11,train,product,0.4528,0.1111,0.1015,True,0.2431,0.3802,0.3702,0.3907,0.3417,-0.0,0.0015,11,11
tfidf_bigram,11,train,issue,0.2618,0.0767,0.0763,True,0.1315,0.3143,0.2497,0.4239,0.1851,-0.0,0.0098,11,86
tfidf_bigram,11,test,product,0.4641,0.1232,0.1016,True,0.2551,0.389,0.3796,0.3987,0.341,0.0001,0.0061,11,11
tfidf_bigram,11,test,issue,0.2693,0.077,0.0731,True,0.1363,0.3386,0.2693,0.4559,0.1923,0.0,0.0364,11,81
tfidf_unigram_svd100,2,train,product,0.1499,0.1033,0.1015,True,0.0359,0.1113,0.0675,0.3167,0.0465,0.0,0.0002,2,11
tfidf_unigram_svd100,2,train,issue,0.1051,0.0763,0.0763,True,0.0166,0.0903,0.0511,0.386,0.0287,-0.0001,0.0015,2,86
tfidf_unigram_svd100,2,test,product,0.1529,0.1069,0.1016,True,0.0387,0.119,0.0725,0.333,0.046,-0.0001,0.0011,2,11
tfidf_unigram_svd100,2,test,issue,0.1035,0.0733,0.0731,True,0.0166,0.0991,0.0562,0.4163,0.0302,0.0,0.0058,2,81
tfidf_unigram_svd100,8,train,product,0.42,0.1093,0.1015,True,0.2027,0.3688,0.331,0.4165,0.3107,0.0,0.0012,8,11
tfidf_unigram_svd100,8,train,issue,0.2531,0.0768,0.0763,True,0.1036,0.3023,0.2258,0.4572,0.1764,0.0,0.0075,8,86
tfidf_unigram_svd100,8,test,product,0.432,0.1189,0.1016,True,0.2089,0.3756,0.3378,0.4229,0.3131,0.0,0.0047,8,11
tfidf_unigram_svd100,8,test,issue,0.2551,0.0757,0.0731,True,0.1048,0.3179,0.2377,0.4797,0.1794,0.0001,0.0273,8,81
tfidf_unigram_svd100,11,train,product,0.4654,0.1111,0.1015,True,0.2398,0.3924,0.3848,0.4004,0.3543,-0.0,0.0015,11,11
tfidf_unigram_svd100,11,train,issue,0.258,0.0768,0.0763,True,0.1346,0.3302,0.2637,0.4415,0.1811,-0.0,0.01,11,86
tfidf_unigram_svd100,11,test,product,0.4753,0.1232,0.1016,True,0.2446,0.3973,0.3903,0.4046,0.3521,-0.0,0.0059,11,11
tfidf_unigram_svd100,11,test,issue,0.2596,0.0773,0.0731,True,0.1337,0.349,0.279,0.466,0.1822,-0.0,0.0358,11,81
