representation,k,inertia,length_variance_explained,silhouette,davies_bouldin,calinski_harabasz,largest_cluster_pct,smallest_cluster_pct,size_ratio,normalised_entropy
count_unigram,2,3703162.99,0.4265,0.4741,3.566,206.8,89.2,10.8,8.3,0.494
count_unigram,3,3625334.93,0.3913,0.4279,3.839,151.9,86.1,6.4,13.4,0.453
count_unigram,4,3556093.61,0.4223,0.328,3.576,129.1,81.5,1.7,47.5,0.462
count_unigram,5,3499609.73,0.5136,0.2401,3.669,113.2,73.9,1.1,65.8,0.522
count_unigram,6,3457289.12,0.4942,0.2044,3.515,101.6,70.4,1.1,66.9,0.552
count_unigram,7,3418743.74,0.5518,0.1986,3.39,94.6,68.7,0.3,223.9,0.551
count_unigram,8,3377504.21,0.6146,0.1959,2.891,95.8,68.9,0.0,2467.5,0.504
count_unigram,9,3344888.11,0.6035,0.1857,3.072,87.9,65.2,0.0,2336.0,0.522
count_unigram,10,3330863.32,0.5843,0.1765,3.06,81.8,62.8,0.1,750.2,0.542
count_unigram,11,3304209.85,0.612,0.1864,3.002,85.1,65.6,0.0,9397.0,0.514
count_unigram,12,3274851.75,0.6193,0.1802,2.854,78.2,63.7,0.0,4561.5,0.512
count_unigram,13,3247145.94,0.6642,0.1078,3.47,73.8,52.7,0.0,2515.3,0.611
count_unigram,14,3237657.84,0.6089,0.1271,3.209,69.8,58.3,0.0,8360.0,0.556
count_unigram,15,3217009.02,0.6327,0.0649,3.111,73.0,55.5,0.0,7950.0,0.571
count_unigram,16,3204844.37,0.6508,0.1051,3.418,65.7,50.0,0.0,3585.0,0.615
count_unigram,17,3179752.18,0.6793,0.1184,3.143,66.3,54.5,0.0,7813.0,0.559
count_unigram,18,3178272.81,0.6719,0.121,3.057,67.4,55.5,0.0,7957.0,0.539
count_unigram,19,3144180.26,0.6829,0.1291,3.131,68.9,55.8,0.0,7992.0,0.541
count_unigram,20,3144584.54,0.6913,0.1069,3.395,61.7,55.3,0.0,7923.0,0.55
tfidf_unigram,2,13612.79,0.0001,0.0093,8.975,32.7,79.3,20.7,3.8,0.736
tfidf_unigram,3,13520.96,0.0008,0.0087,9.838,30.6,43.9,19.6,2.2,0.955
tfidf_unigram,4,13446.3,0.0062,0.0089,8.885,27.8,41.1,5.2,7.9,0.863
tfidf_unigram,5,13401.43,0.0061,0.0084,8.927,24.4,38.5,5.2,7.4,0.859
tfidf_unigram,6,13362.08,0.0265,0.0075,9.347,22.0,28.0,5.0,5.6,0.912
tfidf_unigram,7,13327.75,0.1035,0.0067,9.111,20.2,25.9,5.2,5.0,0.906
tfidf_unigram,8,13296.71,0.1394,0.0075,9.005,18.6,23.6,5.2,4.6,0.91
tfidf_unigram,9,13269.58,0.1054,0.0071,9.002,17.5,21.9,4.6,4.8,0.948
tfidf_unigram,10,13240.92,0.1006,0.0075,8.747,16.6,20.5,4.5,4.5,0.95
tfidf_unigram,11,13212.18,0.1281,0.0079,8.524,15.8,21.3,4.3,5.0,0.921
tfidf_unigram,12,13193.07,0.1443,0.0074,8.703,15.0,15.8,4.8,3.3,0.97
tfidf_unigram,13,13168.15,0.1233,0.0073,8.476,14.4,17.3,3.5,5.0,0.953
tfidf_unigram,14,13149.0,0.1487,0.0074,8.365,13.8,14.6,4.1,3.6,0.972
tfidf_unigram,15,13124.73,0.1421,0.0084,8.037,13.4,15.1,1.7,9.0,0.956
tfidf_unigram,16,13109.34,0.1407,0.0072,8.086,12.9,15.4,2.3,6.8,0.962
tfidf_unigram,17,13092.16,0.1584,0.0084,7.883,12.5,14.1,1.6,9.0,0.957
tfidf_unigram,18,13072.03,0.1811,0.0082,7.696,12.2,13.7,1.5,9.1,0.956
tfidf_unigram,19,13058.16,0.1639,0.0075,7.754,11.7,13.6,1.8,7.6,0.951
tfidf_unigram,20,13035.54,0.1526,0.0076,7.538,11.6,14.5,1.6,8.9,0.951
tfidf_bigram,2,13999.17,0.0001,0.0043,12.19,16.8,81.0,19.0,4.3,0.701
tfidf_bigram,3,13951.09,0.004,0.0042,10.481,15.5,76.5,5.2,14.6,0.61
tfidf_bigram,4,13910.03,0.0053,0.0048,12.357,14.6,40.9,5.0,8.2,0.859
tfidf_bigram,5,13884.65,0.0056,0.0046,12.303,12.9,38.9,5.0,7.8,0.852
tfidf_bigram,6,13865.36,0.0393,0.0043,13.141,11.6,27.0,5.0,5.4,0.911
tfidf_bigram,7,13844.78,0.1444,0.0041,12.516,10.8,24.9,5.0,5.0,0.906
tfidf_bigram,8,13826.56,0.073,0.0044,11.673,10.0,28.9,2.5,11.6,0.88
tfidf_bigram,9,13808.94,0.1083,0.0046,11.818,9.5,23.5,2.4,9.6,0.902
tfidf_bigram,10,13792.03,0.1196,0.0046,11.332,9.0,23.3,2.4,9.5,0.893
tfidf_bigram,11,13783.13,0.1599,0.0041,11.762,8.5,17.9,3.7,4.8,0.941
tfidf_bigram,12,13767.86,0.1193,0.0044,11.614,8.2,17.7,3.9,4.6,0.948
tfidf_bigram,13,13755.13,0.1237,0.0049,10.884,7.9,21.6,1.8,12.2,0.904
tfidf_bigram,14,13739.56,0.1294,0.005,10.841,7.6,16.5,1.9,8.5,0.929
tfidf_bigram,15,13730.45,0.1095,0.005,10.478,7.3,13.5,1.4,9.6,0.936
tfidf_bigram,16,13722.29,0.1523,0.0043,10.598,7.1,14.8,1.2,11.9,0.932
tfidf_bigram,17,13710.16,0.1493,0.0038,10.209,6.9,18.2,1.3,14.4,0.93
tfidf_bigram,18,13691.4,0.1228,0.0043,9.977,6.8,13.1,1.2,10.6,0.931
tfidf_bigram,19,13684.2,0.1725,0.0055,9.815,6.6,13.7,0.9,15.4,0.926
tfidf_bigram,20,13670.32,0.1319,0.0056,9.749,6.5,14.0,0.5,28.2,0.923
tfidf_unigram_svd100,2,2815.64,0.0001,0.0651,4.078,155.2,79.5,20.5,3.9,0.732
tfidf_unigram_svd100,3,2724.1,0.001,0.0391,4.35,148.8,43.9,18.4,2.4,0.947
tfidf_unigram_svd100,4,2649.99,0.0058,0.0428,3.911,137.8,41.4,5.1,8.1,0.862
tfidf_unigram_svd100,5,2605.8,0.0061,0.036,3.892,122.0,37.9,5.2,7.3,0.86
tfidf_unigram_svd100,6,2567.23,0.0252,0.0335,4.043,111.1,28.2,5.1,5.6,0.91
tfidf_unigram_svd100,7,2533.82,0.1005,0.0332,3.949,102.6,26.0,5.1,5.1,0.904
tfidf_unigram_svd100,8,2503.11,0.0237,0.0374,3.82,95.2,23.8,5.1,4.7,0.91
tfidf_unigram_svd100,9,2473.18,0.1328,0.0357,3.77,90.4,23.4,5.0,4.6,0.921
tfidf_unigram_svd100,10,2448.58,0.099,0.0385,3.794,85.9,20.6,4.4,4.7,0.948
tfidf_unigram_svd100,11,2419.4,0.1281,0.0372,3.708,82.5,18.3,4.3,4.2,0.954
tfidf_unigram_svd100,12,2395.44,0.1231,0.0379,3.643,79.0,17.8,4.2,4.2,0.947
tfidf_unigram_svd100,13,2380.21,0.104,0.0436,3.481,75.6,16.1,1.7,9.4,0.937
tfidf_unigram_svd100,14,2357.66,0.1654,0.0381,3.439,72.5,16.4,1.6,10.2,0.936
tfidf_unigram_svd100,15,2338.14,0.1011,0.0386,3.401,70.6,16.1,1.6,9.8,0.944
tfidf_unigram_svd100,16,2323.97,0.1579,0.0413,3.388,68.1,15.4,1.6,9.9,0.948
tfidf_unigram_svd100,17,2300.5,0.1524,0.0414,3.307,66.9,14.3,1.0,13.9,0.945
tfidf_unigram_svd100,18,2277.49,0.1694,0.041,3.207,66.0,14.2,1.0,13.8,0.938
tfidf_unigram_svd100,19,2272.64,0.1593,0.0366,3.221,63.2,14.7,1.4,10.3,0.937
tfidf_unigram_svd100,20,2250.28,0.1658,0.0423,3.139,62.1,13.7,1.0,13.2,0.931
