purity,purity_permuted,purity_majority,purity_lift_over_permuted,beats_majority,ari,ari_permuted,nmi,nmi_permuted,homogeneity,completeness,clusters,classes,method,k,split,fit_seconds,length_variance_explained,largest_cluster_pct,smallest_cluster_pct,size_ratio,normalised_entropy,mean_top_weight,median_top_weight,uniform_weight,share_above_half
0.1501,0.1034,0.1015,0.0467,True,0.0361,0.0,0.1112,0.0002,0.0675,0.315,2,11,KMeans (tfidf),2,train,0.21,0.0001,79.3,20.7,3.8,0.736,,,,
0.1529,0.1069,0.1016,0.046,True,0.0389,-0.0001,0.1194,0.0011,0.0728,0.3325,2,11,KMeans (tfidf),2,test,0.21,,,,,,,,,
0.1115,0.1029,0.1015,0.0086,True,-0.0001,0.0,0.0045,0.0002,0.0026,0.0179,2,11,KMeans (counts),2,train,0.2,0.4265,89.2,10.8,8.3,0.494,,,,
0.1144,0.1051,0.1016,0.0093,True,0.0002,0.0001,0.0067,0.001,0.0038,0.0262,2,11,KMeans (counts),2,test,0.2,,,,,,,,,
0.1525,0.1037,0.1015,0.0488,True,0.0397,0.0,0.1016,0.0002,0.0633,0.256,2,11,NMF (tfidf),2,train,0.17,0.0001,72.4,27.6,2.6,0.85,0.8246,0.8478,0.5,1.0
0.156,0.1073,0.1016,0.0487,True,0.0415,-0.0,0.1071,0.0011,0.0669,0.2678,2,11,NMF (tfidf),2,test,0.17,,,,,,,,,
0.1453,0.1035,0.1015,0.0418,True,0.0288,0.0,0.0793,0.0002,0.0486,0.2152,2,11,LDA (counts),2,train,10.89,0.0017,77.1,22.9,3.4,0.776,0.8549,0.9082,0.5,1.0
0.1468,0.107,0.1016,0.0398,True,0.0295,0.0,0.083,0.0011,0.0509,0.2249,2,11,LDA (counts),2,test,10.89,,,,,,,,,
0.3761,0.1092,0.1015,0.2669,True,0.1906,-0.0,0.3347,0.0011,0.3004,0.3778,8,11,KMeans (tfidf),8,train,0.7,0.1394,23.6,5.2,4.6,0.91,,,,
0.3843,0.1187,0.1016,0.2656,True,0.1948,-0.0001,0.3373,0.0044,0.3035,0.3795,8,11,KMeans (tfidf),8,test,0.7,,,,,,,,,
0.1887,0.1068,0.1015,0.082,True,0.0149,0.0001,0.1229,0.0015,0.0885,0.2012,8,11,KMeans (counts),8,train,0.52,0.6146,68.9,0.0,2467.5,0.504,,,,
0.1884,0.1124,0.1016,0.076,True,0.0143,0.0003,0.1228,0.005,0.0884,0.2015,7,11,KMeans (counts),8,test,0.52,,,,,,,,,
0.3686,0.1096,0.1015,0.259,True,0.1973,-0.0,0.3007,0.0011,0.2788,0.3263,8,11,NMF (tfidf),8,train,0.36,0.1181,19.4,8.1,2.4,0.978,0.5139,0.4851,0.125,0.4621
0.367,0.1183,0.1016,0.2487,True,0.1948,-0.0001,0.3011,0.0042,0.28,0.3255,8,11,NMF (tfidf),8,test,0.36,,,,,,,,,
0.2931,0.1088,0.1015,0.1843,True,0.1328,0.0,0.2462,0.0012,0.2135,0.2908,8,11,LDA (counts),8,train,16.36,0.0021,25.2,0.1,240.8,0.841,0.6208,0.595,0.125,0.7039
0.2827,0.1182,0.1016,0.1645,True,0.124,-0.0,0.2407,0.0047,0.2072,0.287,8,11,LDA (counts),8,test,16.36,,,,,,,,,
0.4477,0.1107,0.1015,0.3369,True,0.2253,-0.0,0.3803,0.0015,0.3666,0.3951,11,11,KMeans (tfidf),11,train,1.0,0.1281,21.3,4.3,5.0,0.921,,,,
0.4669,0.1229,0.1016,0.344,True,0.2334,0.0,0.3861,0.006,0.3731,0.4001,11,11,KMeans (tfidf),11,test,1.0,,,,,,,,,
0.204,0.1077,0.1015,0.0963,True,0.0155,0.0,0.1408,0.0018,0.1069,0.2066,11,11,KMeans (counts),11,train,0.65,0.612,65.6,0.0,9397.0,0.514,,,,
0.1982,0.1142,0.1016,0.084,True,0.0141,0.0003,0.1406,0.0065,0.1062,0.2078,9,11,KMeans (counts),11,test,0.65,,,,,,,,,
0.4523,0.1118,0.1015,0.3405,True,0.2587,-0.0,0.3597,0.0015,0.3591,0.3604,11,11,NMF (tfidf),11,train,1.27,0.1133,14.5,6.8,2.1,0.989,0.473,0.4418,0.0909,0.3712
0.4602,0.123,0.1016,0.3372,True,0.2652,-0.0001,0.3691,0.0058,0.369,0.3691,11,11,NMF (tfidf),11,test,1.27,,,,,,,,,
0.3588,0.1101,0.1015,0.2487,True,0.1537,-0.0,0.274,0.0013,0.2564,0.2941,10,11,LDA (counts),11,train,19.01,0.0155,21.0,0.0,3013.0,0.866,0.5693,0.5379,0.0909,0.5869
0.3508,0.1205,0.1016,0.2303,True,0.1409,0.0001,0.2745,0.0057,0.2551,0.2971,10,11,LDA (counts),11,test,19.01,,,,,,,,,
