method,topic,documents,share_pct,distinctive_terms
KMeans (tfidf),0,868,6.1,"debt, collection, collect, collector, validation, company, creditor, agency, letter, original, owe, alleged"
KMeans (tfidf),1,2990,20.9,"payment, mortgage, pay, loan, paid, month, interest, late, fee, escrow, insurance, due"
KMeans (tfidf),2,3380,23.6,"car, vehicle, charged, repair, lexington, company, title, fee, fargo, charge, rate, dealership"
KMeans (tfidf),3,1036,7.2,"report, credit, inquiry, reporting, remove, account, removed, inaccurate, identity, information, theft, please"
KMeans (tfidf),4,1020,7.1,"consumer, act, matter, violation, financial, reporting, attention, action, usc, fair, section, writing"
KMeans (tfidf),5,1010,7.0,"mohela, loan, student, forbearance, plan, repayment, application, school, save, payment, nelnet, navient"
KMeans (tfidf),6,3289,22.9,"bank, money, account, fund, transfer, transaction, chase, app, deposit, check, back, checking"
KMeans (tfidf),7,739,5.2,"card, gift, use, amex, declined, american, express, tried, online, purchase, store, vanilla"
KMeans (counts),0,1433,10.0,"payment, loan, would, mortgage, month, due, told, made, mohela, interest, pay, amount"
KMeans (counts),1,9870,68.9,"company, credit, year, never, money, car, sent, mortgage, month, get, report, vehicle"
KMeans (counts),2,18,0.1,"loan, payment, interest, student, plan, status, repayment, rate, navient, date, applied, tax"
KMeans (counts),3,1743,12.2,"account, bank, money, fund, check, email, transfer, transaction, told, day, back, closed"
KMeans (counts),4,4,0.0,"case, arbitration, debt, repossession, damage, court, notice, agreement, consumer, filing, law, ucc"
KMeans (counts),5,160,1.1,"bank, account, call, would, money, back, transaction, phone, email, told, claim, day"
KMeans (counts),6,796,5.6,"card, gift, use, purchase, called, charge, express, tried, american, transaction, told, balance"
KMeans (counts),7,308,2.1,"credit, consumer, debt, information, report, reporting, act, violation, right, agency, law, inaccurate"
NMF (tfidf),0,2225,15.5,"told, called, call, said, back, get, would, day, asked, phone, email, could"
NMF (tfidf),1,1590,11.1,"credit, report, reporting, remove, inquiry, inaccurate, account, information, removed, reported, identity, please"
NMF (tfidf),2,2286,16.0,"bank, account, money, fund, transfer, transaction, checking, closed, chase, deposit, fraud, check"
NMF (tfidf),3,1184,8.3,"card, gift, use, declined, american, express, amex, tried, purchase, online, store, balance"
NMF (tfidf),4,1672,11.7,"matter, consumer, financial, action, request, regarding, complaint, writing, attention, protection, provide, despite"
NMF (tfidf),5,1167,8.1,"debt, collection, validation, collect, collector, company, creditor, original, owe, letter, contract, agency"
NMF (tfidf),6,1424,9.9,"loan, mohela, student, forbearance, application, plan, repayment, school, save, navient, nelnet, servicer"
NMF (tfidf),7,2784,19.4,"payment, paid, pay, fee, month, late, interest, mortgage, car, loan, amount, monthly"
LDA (counts),0,3612,25.2,"told, get, said, back, called, call, money, would, never, time, asked, day"
LDA (counts),1,2368,16.5,"payment, loan, due, month, late, amount, made, balance, mohela, paid, would, plan"
LDA (counts),2,15,0.1,"affirm, item, refund, product, purchase, cancellation, seller, truist, cancel, delivered, delivery, robinhood"
LDA (counts),3,251,1.8,"car, vehicle, chase, contract, title, wire, security, finance, dealership, repossession, note, coinbase"
LDA (counts),4,1131,7.9,"mortgage, card, insurance, gift, home, escrow, use, express, american, tax, property, tried"
LDA (counts),5,899,6.3,"loan, interest, rate, fee, application, student, school, financial, settlement, program, term, navient"
LDA (counts),6,3504,24.4,"account, bank, card, transaction, fund, money, email, claim, number, fraud, customer, transfer"
LDA (counts),7,2552,17.8,"credit, report, consumer, debt, information, reporting, account, collection, act, right, violation, law"
